Plot Title: Incubator_17July2017,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)",Host Connected (LGR S/N: 10517223),Coupler Detached (LGR S/N: 10517223),Coupler Attached (LGR S/N: 10517223),Stopped (LGR S/N: 10517223),End Of File (LGR S/N: 10517223)
325,2017-07-20 17:46:13,16.046,10677.8,,,,,
326,2017-07-20 18:01:13,15.951,6200,,,,,
327,2017-07-20 18:16:13,15.569,4994.5,,,,,
328,2017-07-20 18:31:13,15.187,4650,,,,,
329,2017-07-20 18:46:13,14.804,5166.7,,,,,
330,2017-07-20 19:01:13,15.187,5511.1,,,,,
331,2017-07-20 19:16:13,15.569,6200,,,,,
332,2017-07-20 19:31:13,15.378,4822.3,,,,,
333,2017-07-20 19:46:13,15.282,5166.7,,,,,
334,2017-07-20 20:01:13,15.282,8266.7,,,,,
335,2017-07-20 20:16:13,16.523,6544.5,,,,,
336,2017-07-20 20:31:13,15.664,3961.1,,,,,
337,2017-07-20 20:46:13,15.855,3272.2,,,,,
338,2017-07-20 21:01:13,15.378,1808.3,,,,,
339,2017-07-20 21:16:13,14.134,775,,,,,
340,2017-07-20 21:31:13,13.942,775,,,,,
341,2017-07-20 21:46:13,14.038,1722.2,,,,,
342,2017-07-20 22:01:13,13.942,1463.9,,,,,
343,2017-07-20 22:16:13,14.325,226,,,,,
344,2017-07-20 22:31:13,13.75,64.6,,,,,
345,2017-07-20 22:46:13,13.846,10.8,,,,,
346,2017-07-20 23:01:13,13.75,0,,,,,
347,2017-07-20 23:16:13,13.558,10.8,,,,,
348,2017-07-20 23:31:13,13.846,10.8,,,,,
349,2017-07-20 23:46:13,13.75,0,,,,,
350,2017-07-21 00:01:13,12.594,0,,,,,
351,2017-07-21 00:16:13,12.401,0,,,,,
352,2017-07-21 00:31:13,12.304,0,,,,,
353,2017-07-21 00:46:13,12.207,0,,,,,
354,2017-07-21 01:01:13,12.207,0,,,,,
355,2017-07-21 01:16:13,12.497,0,,,,,
356,2017-07-21 01:31:13,12.594,0,,,,,
357,2017-07-21 01:46:13,12.497,0,,,,,
358,2017-07-21 02:01:13,12.594,0,,,,,
359,2017-07-21 02:16:13,12.497,0,,,,,
360,2017-07-21 02:31:13,12.594,0,,,,,
361,2017-07-21 02:46:13,11.625,21.5,,,,,
362,2017-07-21 03:01:13,11.334,43.1,,,,,
363,2017-07-21 03:16:13,11.041,75.3,,,,,
364,2017-07-21 03:31:13,10.944,172.2,,,,,
365,2017-07-21 03:46:13,11.041,430.6,,,,,
366,2017-07-21 04:01:13,11.041,312.2,,,,,
367,2017-07-21 04:16:13,10.846,538.2,,,,,
368,2017-07-21 04:31:13,10.748,710.4,,,,,
369,2017-07-21 04:46:13,10.651,1087.2,,,,,
370,2017-07-21 05:01:13,10.651,1377.8,,,,,
371,2017-07-21 05:16:13,10.553,1636.1,,,,,
372,2017-07-21 05:31:13,10.748,1980.6,,,,,
373,2017-07-21 05:46:13,10.748,2238.9,,,,,
374,2017-07-21 06:01:13,10.944,3616.7,,,,,
375,2017-07-21 06:16:13,11.139,6200,,,,,
376,2017-07-21 06:31:13,12.98,6544.5,,,,,
377,2017-07-21 06:46:13,12.304,6544.5,,,,,
378,2017-07-21 07:01:13,13.076,12400.1,,,,,
379,2017-07-21 07:16:13,12.497,11711.2,,,,,
380,2017-07-21 07:31:13,12.883,17222.3,,,,,
381,2017-07-21 07:46:13,13.076,13089,,,,,
382,2017-07-21 08:01:13,13.269,14466.8,,,,,
383,2017-07-21 08:16:13,13.269,14466.8,,,,,
384,2017-07-21 08:31:13,14.613,14466.8,,,,,
385,2017-07-21 08:46:13,15.473,18600.1,,,,,
386,2017-07-21 09:01:13,15.282,17911.2,,,,,
387,2017-07-21 09:16:13,16.332,19289,,,,,
388,2017-07-21 09:31:13,15.187,19977.9,,,,,
389,2017-07-21 09:46:13,16.046,30311.3,,,,,
390,2017-07-21 10:01:13,18.616,28933.5,,,,,
391,2017-07-21 10:16:13,20.519,39955.8,,,,,
392,2017-07-21 10:31:13,20.901,31689.1,,,,,
393,2017-07-21 10:46:13,26.488,44089.2,,,,,
394,2017-07-21 11:01:13,32.188,37200.2,,,,,
395,2017-07-21 11:16:13,25.708,30311.3,,,,,
396,2017-07-21 11:31:13,22.908,30311.3,,,,,
397,2017-07-21 11:46:13,22.333,42711.4,,,,,
398,2017-07-21 12:01:13,28.06,39955.8,,,,,
399,2017-07-21 12:16:13,25.125,42711.4,,,,,
400,2017-07-21 12:31:13,26.292,44089.2,,,,,
401,2017-07-21 12:46:13,24.062,41333.6,,,,,
402,2017-07-21 13:01:13,22.908,44089.2,,,,,
403,2017-07-21 13:16:13,31.676,66133.8,,,,,
404,2017-07-21 13:31:13,26.977,49600.3,,,,,
405,2017-07-21 13:46:13,26.292,71644.9,,,,,
406,2017-07-21 14:01:13,33.118,187379,,,,,
407,2017-07-21 14:16:13,26.488,104711.8,,,,,
408,2017-07-21 14:31:13,21.855,27555.7,,,,,
409,2017-07-21 14:46:13,19.187,12400.1,,,,,
410,2017-07-21 15:01:13,18.616,35822.5,,,,,
411,2017-07-21 15:16:13,17.189,19977.9,,,,,
412,2017-07-21 15:31:13,17.475,34444.7,,,,,
413,2017-07-21 15:46:13,21.855,170845.6,,,,,
414,2017-07-21 16:01:13,17.284,22044.6,,,,,
415,2017-07-21 16:16:13,18.14,44089.2,,,,,
416,2017-07-21 16:31:13,18.236,30311.3,,,,,
417,2017-07-21 16:46:13,18.901,99200.7,,,,,
418,2017-07-21 17:01:13,21.282,104711.8,,,,,
419,2017-07-21 17:16:13,21.664,99200.7,,,,,
420,2017-07-21 17:31:13,20.424,63378.2,,,,,
421,2017-07-21 17:46:13,21.951,77156.1,,,,,
422,2017-07-21 18:01:13,19.853,30311.3,,,,,
423,2017-07-21 18:16:13,16.713,18600.1,,,,,
