type,seed,year,month,yday,hour,par,wspeed,temp,do_eq,sch_conv,do,T_S,D_M
fixed_all,3,2012,7,187,8,184.80405414057708,1,14.445,9329.233888777904,0.378819866786314,10624.345808088307,2,22
fixed_all,3,2012,7,187,9,447.9550388797392,1,14.475000000000001,9322.144382982426,0.378548881071436,10640.766045402597,2,22
fixed_all,3,2012,7,187,10,554.0408873993597,2.4,14.51,9313.884101649135,0.3782332890320731,10749.294024238823,2,22
fixed_all,3,2012,7,187,11,661.0152185399061,2.7,14.57,9299.75064000353,0.377693668425934,10980.35122126006,2,22
fixed_all,3,2012,7,187,12,747.6876453141334,3.1,14.67,9276.270453349493,0.37679819869234527,11089.808721289484,2,22
fixed_all,3,2012,7,187,13,837.0472439788515,4.3,14.765,9254.051387818947,0.3759519915117261,11282.221299366505,2,22
fixed_all,3,2012,7,187,14,848.4354636149784,2.8,14.975,9205.23457261629,0.37409681816892443,11371.359085200374,2,22
fixed_all,3,2012,7,187,15,861.747914924501,3.8,15.11,9174.068063963421,0.372915295088592,11532.467728313752,2,22
fixed_all,3,2012,7,187,16,845.6952026042319,1.5,15.27,9137.346641972337,0.371526090259135,11559.304622712249,2,22
fixed_all,3,2012,7,187,17,787.3235016949582,1.8,15.274999999999999,9136.202864323606,0.3714828707328707,11530.395931222907,2,22
fixed_all,3,2012,7,187,18,655.6541889674401,1.8,15.29,9132.772896731172,0.371353282116514,11651.13043484733,2,22
fixed_all,3,2012,7,187,19,587.9372551187975,3.4,15.35,9119.07347751668,0.3708359753294235,11733.795975755505,2,22
fixed_all,3,2012,7,187,20,503.42235005285096,3.4,15.535,9077.038640148938,0.3692514411997308,11639.325905462423,2,22
fixed_all,3,2012,7,187,21,350.0721914304939,4.2,15.695,9040.932106238179,0.36789370699083845,11726.558536897734,2,22
fixed_all,3,2012,7,187,22,270.27419639159245,3.6,15.620000000000001,9057.828549079806,0.36852868950254075,11661.87216553201,2,22
fixed_all,3,2012,7,187,23,158.74745728462602,4.4,15.55,9073.643918703443,0.3691236563402564,11628.572953473917,2,22
fixed_all,3,2012,7,187,24,68.87977865016252,3.9,15.504999999999999,9083.83414517583,0.36950732080500887,11659.679762270805,2,22
fixed_all,3,2012,7,188,1,15.771277099150481,3,15.415,9104.26927385659,0.3702774457418548,11541.581344649587,2,23
fixed_all,3,2012,7,188,2,2.9456206735310957,3.1,15.355,9117.933334174768,0.3707929419693419,11472.124115760626,2,23
fixed_all,3,2012,7,188,3,2.7836384374809446,2,15.315000000000001,9127.060831609562,0.3711375340774791,11420.693999616149,2,23
fixed_all,3,2012,7,188,4,9.572657757182206,2,15.265,9138.490647280974,0.3715693214519184,11387.943121003631,2,23
fixed_all,3,2012,7,188,5,19.780175542910104,3,15.225000000000001,9147.650892821815,0.37191559142944364,11243.301872788445,2,23
fixed_all,3,2012,7,188,6,32.720575901391975,1.1,15.165,9161.41865591143,0.37243640093584085,11204.181582174166,2,23
fixed_all,3,2012,7,188,7,100.12837587211867,1,15.16,9162.56745616444,0.37247987797491455,10881.106805517149,2,23
fixed_all,3,2012,7,188,8,152.11966690236562,0.5,15.155000000000001,9163.716485420462,0.37252336676149705,10926.223145763057,2,23
fixed_all,3,2012,7,188,9,139.6634007903084,2.8,15.16,9162.56745616444,0.37247987797491455,10981.810989901878,2,23
