year,yday,hour,unique_series,day,do,temp,turb,pcyv,o2_sat,par,wspeed,ext,par0,par_int,sch_o2,sch_conv,do_sol,do_eq,series,series_length,index,unique_day
2016,192,4,49,184,11.600375930319595,12.635000000000002,0.30000000000000004,0.015600000000000001,98.85,14.550925925925926,3.9,0.4486313690777224,6.403128521488961,3.3409623873911936,3825.7725253289673,0.3960190277417766,7.426099525140674,9.800841172472827,12,71,4202,184
2016,192,5,49,184,11.536470884151608,12.6,0.15000000000000002,0.0149,98.2,138.73518518518517,4.6,0.4397848793687398,61.05035691306249,32.211492494189514,3819.0246673919996,0.396368737549496,7.431963935094049,9.809782323019451,12,71,4203,184
2016,192,6,49,184,11.511397563200637,12.585,0.3,0.0185,98.1,408.2333333333333,3.8,0.4486313690777224,179.6428978744073,93.73233146049495,3816.134214225237,0.3965188198509138,7.434479742146456,9.813618200076363,12,71,4204,184
2016,192,7,49,184,11.551231577392823,12.57,0.25,0.018750000000000003,97.75,267.90277777777777,2.1,0.44568253917472817,117.89049893509441,61.74041014196793,3813.2446540204555,0.39666902631968304,7.436997044026592,9.8174564531896,12,71,4205,184
2016,192,8,49,184,11.505542865315068,12.57,0.25,0.01755,98,484.77685185185186,2.6,0.44568253917472817,213.3258393625351,111.72083361334988,3813.2446540204555,0.39666902631968304,7.436997044026592,9.8174564531896,12,71,4206,184
2016,192,9,49,184,11.552330917368439,12.575,0.35,0.018500000000000003,98.05,420.99074074074076,4.3,0.4515801989807166,185.25678936464436,96.30420388898537,3814.207741477875,0.3966189436933046,7.436157777234017,9.816176771358288,12,71,4207,184
2016,192,10,49,184,11.54100091657134,12.58,0.35,0.018799999999999997,99,739.9231481481481,5,0.4515801989807166,325.6028542606869,169.26194052643524,3815.170928224704,0.3965688748717984,7.435318676621926,9.814897353677797,12,71,4208,184
2016,192,11,49,184,11.655845085520427,12.625,0.4,0.0188,99.95,1403.301851851852,5.8,0.45452902888371083,617.5223595799516,319.8295759351313,3823.844071078125,0.39611887599643986,7.42777424193163,9.803394469413687,12,71,4209,184
2016,192,12,49,184,11.732209528688045,12.695,0.55,0.01525,101.45,1632.9324074074075,4.4,0.46337551859269344,718.5711840443349,368.0769519423341,3837.351545155131,0.3954210923574419,7.416065126588612,9.785543486487754,12,71,4210,184
2016,192,13,49,184,11.857331105047363,12.78,0.8,0.017750000000000002,102.65,1199.1851851851852,6.9,0.47811966810766443,527.700910642748,265.4132796819885,3853.779405509184,0.3945773933170702,7.401890412747712,9.763936421748445,12,71,4211,184
2016,192,14,49,184,11.93941185754694,12.8,0.5,0.01515,103.75,803.7092592592593,6.8,0.4604266886896992,353.6719042585776,181.82992391610154,3857.6488995840004,0.3943794491815144,7.3985620976433815,9.758863390008823,12,71,4212,184
2016,192,15,49,184,12.02327483975056,12.879999999999999,0.65,0.0183,105,2576.9712962962967,6.3,0.4692731783986818,1133.9950797889312,576.6300030662217,3873.142482253824,0.39358984827860805,7.385275081084109,9.738612963989874,12,71,4213,184
2016,192,16,49,184,12.112954134088143,12.92,0.44999999999999996,0.02015,105.85,1428.8157407407407,6.1,0.457477858786705,628.7497351071313,324.44541860292554,3880.898605418496,0.39319634944933524,7.378647280044599,9.72851270778053,12,71,4214,184
2016,192,17,49,184,12.18035259588724,12.91,1.25,0.022850000000000002,107,803.7092592592593,7.4,0.5046591372346123,353.6719042585776,172.20479168965622,3878.958992959032,0.393294642989692,7.380303250517022,9.73103621515768,12,71,4215,184
2016,192,18,49,184,12.272902037673013,12.86,1.05,0.01765,107.30000000000001,472.01944444444445,6.3,0.4928638176226355,207.71194787229808,102.59784601851018,3869.266750201152,0.39378692269616655,7.388592904232742,9.743669324471828,12,71,4216,184
2016,192,19,49,184,12.293278450026461,12.77,0.7,0.01875,108.2,242.38796296296294,4.8,0.47222200830167604,106.66271595462035,54.039572337293485,3851.845245281736,0.3946764471563649,7.403555556367762,9.766474504542128,12,71,4217,184
2016,192,20,49,184,12.37297811035931,12.71,0.45,0.018250000000000002,108.75,86.11111111111111,4.9,0.457477858786705,37.89315637915835,19.553504832136998,3840.2485172523116,0.39527191711721077,7.413560245129555,9.781724974292926,12,71,4218,184
2016,192,21,49,184,12.405311297980223,12.67,0.44999999999999996,0.0202,107.65,52.62314814814814,5.7,0.457477858786705,23.15679308060974,11.949293979837009,3832.5252274518957,0.39566999187668184,7.420243232012041,9.791912922834772,12,71,4219,184
2016,192,22,49,184,12.286847964605126,12.64,0.95,0.01815,106.65,37.773148148148145,3.4,0.48696615781664704,16.62205714502973,8.269812612449481,3826.736900763648,0.3959691242474559,7.425262415241804,9.799564918964592,12,71,4220,184
2016,192,23,49,184,12.185220338867824,12.59,0.8500000000000001,0.0201,105.69999999999999,9.667592592592591,4.1,0.48106849801065865,4.254219846825723,2.1319502454170487,3817.0975994437676,0.3964687786264009,7.433640973762753,9.812339310480917,12,71,4221,184
