day,hour,beta0,alpha,rho,o2,o2_pred,year,month,yday,par,wspeed,temp,do_eq,sch_conv,nhour,T_S,proc_err,gamma_1,gamma_2,k0,k1,k2,sig_obs,temp_ref,z,do,type,seed,D_M
35,12,441.99885511877426,1.4730294548590699,113.00925737872828,10929.001572914302,10972.976390971126,2012,7,203,378.78266504938443,4.8,14.51,9313.884101649135,0.3782332890320731,24,3,107.12875791916304,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10568.823966131487,fixed_none,5,35
35,13,441.99885511877426,1.4730294548590699,113.00925737872828,10994.117926380768,11032.774035070272,2012,7,203,362.45725693950527,4.8,14.54,9306.813109382038,0.37796325887276855,24,3,21.14153540964253,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10495.894923949123,fixed_none,5,35
35,14,441.99885511877426,1.4730294548590699,113.00925737872828,10975.702539669212,11014.586517612788,2012,7,203,412.99797077591995,5.9,14.56,9302.103850324434,0.37778348310237253,24,3,-57.07149540106002,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10583.934863584387,fixed_none,5,35
35,15,441.99885511877426,1.4730294548590699,113.00925737872828,11034.906766046899,11071.74262905182,2012,7,203,435.5501937146803,6.3,14.594999999999999,9293.871749478987,0.37746934501476653,24,3,20.32024843411091,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10705.191379034844,fixed_none,5,35
35,16,441.99885511877426,1.4730294548590699,113.00925737872828,11100.100053492733,11109.904072298395,2012,7,203,378.7773573908974,7.7,14.63,9285.651214967638,0.37715580336169513,24,3,28.357424440913746,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10718.00833213004,fixed_none,5,35
35,17,441.99885511877426,1.4730294548590699,113.00925737872828,11164.756496816099,11151.041592823196,2012,7,203,346.6312682026692,8.9,14.66,9278.61423190264,0.3768875270939385,24,3,54.852424517703184,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10731.117040037308,fixed_none,5,35
35,18,441.99885511877426,1.4730294548590699,113.00925737872828,11164.29180634618,11120.91922379738,2012,7,203,244.0817529296241,9.1,14.67,9276.270453349493,0.37679819869234527,24,3,13.250213522984268,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10718.185090154511,fixed_none,5,35
35,19,441.99885511877426,1.4730294548590699,113.00925737872828,11074.524118946443,11013.558124271149,2012,7,203,155.0470726007014,8.5,14.645,9282.131664072302,0.3770216106249431,24,3,-46.39510485093706,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10753.440469571267,fixed_none,5,35
35,20,441.99885511877426,1.4730294548590699,113.00925737872828,10980.414425105679,10900.969392078181,2012,7,203,88.32026710977824,8.2,14.585,9296.222597101896,0.37755903783608663,24,3,-33.143699165470025,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10710.417102034604,fixed_none,5,35
35,21,441.99885511877426,1.4730294548590699,113.00925737872828,10883.644228304045,10783.064897967459,2012,7,203,41.84568616849732,8.8,14.504999999999999,9315.063429941081,0.378278336866622,24,3,-17.325163774135945,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10683.112926255611,fixed_none,5,35
35,22,441.99885511877426,1.4730294548590699,113.00925737872828,10710.359269666971,10632.035116307494,2012,7,203,32.252590041147954,6.7,14.44,9330.416305565233,0.37886507405511205,24,3,-72.70562830048766,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10615.445021166677,fixed_none,5,35
35,23,441.99885511877426,1.4730294548590699,113.00925737872828,10560.36555658052,10470.77551631036,2012,7,203,10.743617420866299,7.8,14.365,9348.181156257839,0.37954466018453814,24,3,-71.6695597269736,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,10542.382012362266,fixed_none,5,35
