datetime,site,year,temp.ben,do.ben,dosat.ben,par.ben,temp.pel,do.pel,dosat.pel,par.pel,k,wdir,wspeed,wspeedbw,gust
2018-06-15T19:00:00Z,st33,2018,10.7253333333333,11.1210833333333,103.673536083333,29.471425,10.675,11.21,104.3,93.9911,0.505520583362462,356,5.2,6.7,9
2018-06-15T20:00:00Z,st33,2018,10.3081666666667,11.1501666666666,102.935722833333,17.723,10.23,11.25,103.55,63.722325,0.560338669921397,329,5.6,6.7,8.6
2018-06-15T21:00:00Z,st33,2018,10.3909166666667,11.2009166666667,103.60524075,10.653225,10.405,11.32,104.65,34.2509,0.50486980405294,333,4.6,6,8.2
2018-06-15T22:00:00Z,st33,2018,10.40475,11.1614166666667,103.273344166667,4.779475,10.35,11.26,103.95,14.038725,0.470555244437105,333,3.5,4.6,6.4
2018-06-15T23:00:00Z,st33,2018,10.48575,11.1350833333334,103.225021,1.393975,10.545,11.25,104.35,4.97835,0.564452522598112,336,1.3,3.7,4.8
2018-06-16T00:00:00Z,st33,2018,10.4305,11.0995833333333,102.763049333333,0.298775,10.515,11.24,104.15,1.493875,0.703156951308662,324,2.7,2.9,3.9
2018-06-16T01:00:00Z,st33,2018,10.2935833333333,11.07775,102.232290833333,0.1998,10.315,11.235,103.65,0.996225,0.672992547268822,313,2.7,2.7,3.2
2018-06-16T02:00:00Z,st33,2018,10.2428333333333,10.9998333333333,101.392223416666,0.49765,10.37,11.245,103.85,1.991525,0.596251565657621,307,1.7,2.3,3.3
2018-06-16T03:00:00Z,st33,2018,10.2436666666667,11.0136666666667,101.521714916666,1.79265,10.245,11.225,103.4,6.27335,0.551814279654585,326,1.4,2.1,2.7
2018-06-16T04:00:00Z,st33,2018,10.2163333333333,11.0709166666667,101.983792083333,5.377025,10.225,11.185,102.95,17.6231,0.517285527563169,304,0.9,1.5,1.9
2018-06-16T05:00:00Z,st33,2018,10.1409166666667,11.1345833333333,102.3884525,11.948225,10.145,11.305,103.85,33.454475,0.457679477753768,301,1.4,1.7,2.7
2018-06-16T06:00:00Z,st33,2018,9.96450000000002,11.2106666666667,102.658523583334,19.11605,10.04,11.345,103.9,52.57145,0.43950133570508,304,0.5,1.8,2.6
2018-06-16T07:00:00Z,st33,2018,9.69716666666666,11.35325,103.31002,26.085925,9.96,11.34,103.7,76.466975,0.466218630980471,279,0.9,1.1,2.3
2018-06-16T08:00:00Z,st33,2018,9.766,11.3819166666667,103.740157,32.65805,9.84,11.375,103.75,90.804475,0.447183900904878,196,0.4,1.1,2
2018-06-16T09:00:00Z,st33,2018,9.84708333333333,11.4135833333333,104.22879625,53.367875,9.855,11.48,104.8,146.561625,0.443119237428732,203,1.2,1.4,2.2
2018-06-16T10:00:00Z,st33,2018,9.93025,11.4101666666667,104.40261575,86.025925,9.965,11.49,105.1,242.1465,0.450514272527508,44,0.9,1.4,2.9
