year,month,yday,hour,par,wspeed,temp,do,do_eq,sch_conv,nhour
2017,7,210,16,194.22533182411348,5.6,13.309999999999999,10395,9603.873609269562,0.3894047356276799,24
2017,7,210,17,133.54764452760787,5.3,13.25,10465,9618.747919633932,0.3899827883187002,24
2017,7,210,18,137.9524776116174,5.3,13.22,10490,9626.198776354257,0.3902725291821461,24
2017,7,210,19,76.95162061544059,5.2,13.14,10540,9646.11252256191,0.3910475085002123,24
2017,7,210,20,58.13227248867707,5.2,12.96,10614.999999999998,9691.157939096278,0.3928037155085242,24
2017,7,210,21,20.28701151524214,4.2,12.83,10580,9723.898434178614,0.3940829413308039,24
2017,7,210,22,17.036917272013252,4.7,12.695,10575,9758.084053234854,0.3954210923574419,24
2017,7,210,23,4.850819871446448,4.8,12.465,10575,9816.766352653407,0.39772395793749,24
2017,7,210,24,0.10951938809278569,4.6,12.265,10535,9868.250002249108,0.39975034095411077,24
2017,7,211,1,0,4.6,12.185,10455,9888.963232648648,0.4005671822425617,24
2017,7,211,2,0,4.9,12.14,10390,9900.644680652558,0.40102824501147066,24
2017,7,211,3,0,4.2,12.02,10335,9931.90218944319,0.4022633689328532,24
2017,7,211,4,0.4734842168447216,5.1,11.97,10320,9944.972259225493,0.4027804284858396,24
2017,7,211,5,3.4684150585091986,5.3,11.97,10235,9944.972259225493,0.4027804284858396,24
2017,7,211,6,7.032316183606696,4.7,11.969999999999999,10180,9944.972259225493,0.4027804284858396,24
2017,7,211,7,9.211865253554675,4.7,11.9,10170,9963.316123627148,0.40350671963065926,24
2017,7,211,8,15.544649105988599,3.5,11.925,10094.999999999998,9956.758603301563,0.40324700684470327,24
2017,7,211,9,26.024527045948847,3.4,11.89,10090,9965.941044848158,0.40361070542555066,24
2017,7,211,10,59.01553409446756,4.3,11.83,10125,9981.713569438587,0.40423583068968016,24
2017,7,211,11,94.4441614997128,5.2,11.83,10155.000000000002,9981.713569438587,0.40423583068968016,24
2017,7,211,12,79.65301771177741,4.9,11.95,10220,9950.207907909258,0.4029876531947873,24
2017,7,211,13,89.91462881224825,3.9,11.91,10240,9960.692295901925,0.4034027913849824,24
2017,7,211,14,129.46225727283954,4.4,12.059999999999999,10220,9921.465690312505,0.4018507498439139,24
2017,7,211,15,135.82262897613526,5.3,12.285,10240,9863.082423732096,0.3995466941334902,24
2017,7,211,16,123.36576048090464,4.3,12.44,10260,9823.178525230958,0.39797603406411086,24
2017,7,211,17,255.41531324197746,5.4,12.39,10360,9836.022782102145,0.39848123085292675,24
2017,7,211,18,144.18474358413556,4.6,12.32,10495.000000000002,9854.049462539819,0.39919085307414215,24
2017,7,211,19,162.78984160198996,5.1,12.23,10605,9877.303582874029,0.4001072647620885,24
2017,7,211,20,82.88057214656062,5,12.165,10735,9894.152292967416,0.40077195744767463,24
2017,7,211,21,44.50921955462121,4.5,12.32,10655.000000000002,9854.049462539819,0.39919085307414215,24
2017,7,211,22,33.37996457718518,5.1,12.455,10575,9819.330426163293,0.39782474666232426,24
2017,7,211,23,6.269909351046794,4.4,12.434999999999999,10500,9824.461755559594,0.39802649103235105,24
2017,7,211,24,0.6359387764032987,4.3,12.34,10475.000000000002,9848.893648753026,0.3989878239250421,24
2017,7,212,1,0,4.5,12.26,10400,9869.54256652418,0.39980128782419844,24
2017,7,212,2,0,4.4,12.18,10395,9890.260093872635,0.4006183548239904,24
2017,7,212,3,0,1.6,12.14,10375,9900.644680652558,0.40102824501147066,24
2017,7,212,4,0.8656702484446908,3.5,12.09,10330,9913.64969891114,0.40154188405466107,24
2017,7,212,5,4.816336326733332,2.8,12.055,10265,9922.769303515039,0.4019022773172381,24
2017,7,212,6,26.826246294903815,2.2,12.055,10245.000000000002,9922.769303515039,0.4019022773172381,24
2017,7,212,7,38.38642069706187,2.8,12.055,10205,9922.769303515039,0.4019022773172381,24
2017,7,212,8,54.40929505839009,2.8,12.02,10215,9931.90218944319,0.4022633689328532,24
2017,7,212,9,107.37635886978825,3.2,11.940000000000001,10245.000000000002,9952.82736767683,0.4030913515933882,24
2017,7,212,10,178.80533689568747,2.6,11.835,10355,9980.39768481399,0.40418365755466784,24
2017,7,212,11,217.59108273561597,3,11.71,10475.000000000002,10013.377304861555,0.40549233062155565,24
2017,7,212,12,289.4442802627938,3.4,11.645,10615,10030.594867920297,0.4061764311473374,24
2017,7,212,13,282.52099368143007,2,11.65,10640,10029.26877861731,0.40612372048449996,24
2017,7,212,14,359.488576341484,2.8,11.64,10725,10031.92123447705,0.406229156421688,24
2017,7,212,15,925.6464476474441,2.1,11.635,10855,10033.247878364044,0.4062818963119694,24
2017,7,212,16,525.8113351111251,2.1,11.785,10879.999999999998,9993.568889629347,0.404706039620001,24
2017,7,212,17,383.01353420503585,2.2,11.81,10920,9986.979853021494,0.40444466775995497,24
2017,7,212,18,230.78703246298087,2.9,11.825,11004.999999999998,9983.029728495821,0.4042880182733275,24
2017,7,212,19,186.89684715589954,4,11.86,11004.999999999998,9973.822375530382,0.40392300845563783,24
2017,7,212,20,115.45766690470691,4.6,11.995000000000001,10890,9938.433825017682,0.4025217199051133,24
2017,7,212,21,65.23910435098685,2.8,12.1,10960,9911.046533440414,0.4014390426113925,24
2017,7,212,22,24.49477926869341,2.3,12.21,10965,9882.482961755675,0.40031153133931124,24
2017,7,212,23,3.8443337412659258,2.8,12.27,10844.999999999998,9866.957705905974,0.39969940815430505,24
2017,7,212,24,0.3188701190230346,3.6,12.28,10850.000000000002,9864.373916720944,0.3995975847483028,24
2017,8,213,1,0,4.1,12.285,10770,9863.082423732096,0.3995466941334902,24
2017,8,213,2,0,3.8,12.295,10785,9860.50024059305,0.3994449550587088,24
2017,8,213,3,0.019428372768161395,3.5,12.28,10735,9864.373916720944,0.3995975847483028,24
2017,8,213,4,1.0548380668311603,4,12.25,10690.000000000002,9872.128499164928,0.39990322379246185,24
2017,8,213,5,13.07035625836344,2.8,12.245000000000001,10625,9873.4218676782275,0.3999542128992611,24
2017,8,213,6,45.076692601944266,2.6,12.19,10550,9887.666640538659,0.4005160238004905,24
2017,8,213,7,46.74977414760031,1.7,12.165,10550,9894.152292967416,0.40077195744767463,24
2017,8,213,8,42.04598802897302,3.8,12.155000000000001,10490,9896.748439291978,0.4008744299728994,24
2017,8,213,9,58.01212742297368,3.9,12.155000000000001,10545,9896.748439291978,0.4008744299728994,24
2017,8,213,10,85.36952772106612,2.6,12.165,10545,9894.152292967416,0.40077195744767463,24
2017,8,213,11,98.64379266237165,1.7,12.22,10625,9879.892735123,0.40020936983248334,24
2017,8,213,12,144.24093717363164,2.5,12.16,10785,9895.450231387451,0.4008231866297914,24
2017,8,213,13,286.13304596149226,3.1,12.335,10850.000000000002,9850.182201772284,0.3990385601929679,24
2017,8,213,14,530.9942417217884,3.1,12.615,10805,9778.432126948654,0.39621877930073734,24
2017,8,213,15,1187.322865447972,3.2,12.774999999999999,10885,9737.802970606146,0.39462691341891554,24
2017,8,213,16,1220.1268968949,2.9,12.870000000000001,10995.000000000002,9713.805791008106,0.39368835837587396,24
2017,8,213,17,1146.7520817036425,3.2,12.995,10985,9682.373031598692,0.3924608686070428,24
2017,8,213,18,786.1036412221413,2.9,13.11,11055,9653.597018280712,0.39133900466913113,24
2017,8,213,19,394.93766314129863,5.1,13.195,11129.999999999998,9632.41481583866,0.3905143446444101,24
2017,8,213,20,189.34295299649008,4.6,13.04,11375,9671.096681801464,0.39202103373816993,24
2017,8,213,21,89.78810854674262,4.4,12.93,11559.999999999998,9698.69791769913,0.39309810996448713,24
2017,8,213,22,29.576360828694767,4.2,12.870000000000001,11675,9713.805791008106,0.39368835837587396,24
2017,8,213,23,6.555335729720016,3.5,12.815,11725.000000000002,9727.687459409495,0.3942311340474262,24
2017,8,213,24,0.45684858248840204,3.9,12.754999999999999,11675,9742.86697688431,0.3948251302244671,24
2017,8,214,1,0,2.9,12.684999999999999,11605,9760.623892853897,0.39552061102616565,24
2017,8,214,2,0,2.5,12.61,11600.000000000002,9779.706112577946,0.3962687516071046,24
2017,8,214,3,0,0.8,12.545,11610,9796.291876356787,0.39691964667350393,24
2017,8,214,4,0.582079041648096,0.7,12.49,11540,9810.360805178776,0.3974722292767371,24
2017,8,214,5,6.018250267707179,2.2,12.434999999999999,11545,9824.461755559594,0.39802649103235105,24
2017,8,214,6,26.09113112868615,2,12.405000000000001,11470,9832.16671433836,0.39832952540154276,24
2017,8,214,7,49.62642938923659,2.2,12.37,11475.000000000002,9841.167931495429,0.39868370028767586,24
2017,8,214,8,67.4631578076023,1.6,12.355,11504.999999999998,9845.029590380364,0.39883569913851175,24
2017,8,214,9,90.20870998973494,0.8,12.34,11490,9848.893648753026,0.3989878239250421,24
2017,8,214,10,141.09197840091954,0.7,12.34,11504.999999999998,9848.893648753026,0.3989878239250421,24
2017,8,214,11,173.8178687417332,0.8,12.35,11635,9846.317343130784,0.3988863934021091,24
2017,8,214,12,136.53179437940676,2.5,12.370000000000001,11730,9841.167931495429,0.39868370028767586,24
2017,8,214,13,562.0383736406268,2.6,12.46,11870.000000000002,9818.048256869919,0.3977743453484543,24
2017,8,214,14,1274.6949254770325,2.7,12.545,11875,9796.291876356787,0.39691964667350393,24
2017,8,214,15,1213.6690787447806,2.4,12.71,11815,9754.276256252817,0.39527191711721077,24
2017,8,214,16,1155.5868663271676,4.3,12.989999999999998,11740,9683.627245544858,0.3925098063487279,24
2017,8,214,17,1111.1678756811946,4.8,13.04,11925,9671.096681801464,0.39202103373816993,24
2017,8,214,18,711.0475352812282,4.7,13.02,12254.999999999998,9676.105821844429,0.3922163815840022,24
2017,8,214,19,296.105155374841,4.8,13.03,12385,9673.600737955167,0.3921186808168879,24
2017,8,214,20,326.98566859607377,5,13.04,12385,9671.096681801464,0.39202103373816993,24
2017,8,214,21,51.58102269413318,5.2,13.055,12210,9667.34252335057,0.3918746637130495,24
2017,8,214,22,32.06529434393782,4.7,13.015,12145,9677.358749366134,0.39226525211111113,24
2017,8,214,23,3.697199129324542,4.1,12.945,12070,9694.92676681552,0.3929508520181149,24
2017,8,214,24,0.2702011561420894,3,12.91,12004.999999999998,9703.72973598249,0.393294642989692,24
2017,8,215,1,0,3.2,12.9,11780.000000000002,9706.24719658315,0.3933929906190287,24
2017,8,215,2,0,2.3,12.855,11660,9717.588586324873,0.3938362252004322,24
2017,8,215,3,0,2.4,12.805,11620.000000000002,9730.214775963643,0.3943299971945368,24
2017,8,215,4,0.4400172446017723,1.8,12.76,11525,9741.600584255297,0.39477555555492666,24
2017,8,215,5,5.806928257349501,1.9,12.715,11430,9753.0075136245,0.3952222194236552,24
2017,8,215,6,12.698961906944923,2.2,12.66,11365,9766.978075126632,0.39576964772467765,24
2017,8,215,7,38.00944905126403,3,12.625,11285,9775.884944116862,0.39611887599643986,24
2017,8,215,8,50.804278087225356,3.2,12.594999999999999,11315.000000000002,9783.529647183692,0.3964187511940109,24
2017,8,215,9,76.95030613696677,2.8,12.6,11360,9782.254872623222,0.396368737549496,24
