year,month,yday,hour,par,wspeed,temp,do_eq,sch_conv,do,T_S,D_M
2012,6,165,14,857.0111930069611,2.7,11.184999999999999,10153.791202120552,0.4110888957259517,12113.681345418441,1,3
2012,6,165,15,880.6608622912903,1.5,11.29,10125.460469225629,0.40995649951448854,12059.70489645634,1,3
2012,6,165,16,657.709782346167,3.7,11.34,10112.01351695851,0.40941957946741014,12140.916722774986,1,3
2012,6,165,17,496.90516582159853,2.6,11.435,10086.541928333134,0.4084035277989323,12152.980747706748,1,3
2012,6,165,18,557.5026610010085,3.3,11.79,9992.250532380274,0.4046537362892654,12153.563669795445,1,3
2012,6,165,19,655.6950733630143,3.6,11.815000000000001,9985.6628702111,0.40439243680407644,12186.177960079356,1,3
2012,6,165,20,506.64354304672474,4.5,11.84,9979.08207454645,0.40413149886390404,12165.323153327123,1,3
2012,6,165,21,382.19420692520885,2.9,11.83,9981.713569438587,0.40423583068968016,12139.950669278047,1,3
2012,6,165,22,216.98710768296735,2.3,11.844999999999999,9977.76673856011,0.4040793546130034,12258.827131382135,1,3
2012,6,165,23,178.20290851493655,1.3,11.82,9984.34616206173,0.4043402203099969,12297.40442984725,1,3
2012,6,165,24,82.59921891797866,2.3,11.795,9990.932450170792,0.40460144744228554,12253.239652201037,1,3
2012,6,166,1,22.84660442166309,2.5,11.765,9998.845070542955,0.40491539786839226,12135.84459712558,1,4
2012,6,166,2,6.758831665290511,2.7,11.735,10006.767606033673,0.4052298705009953,12161.131886851377,1,4
2012,6,166,3,4.743484165482663,2.4,11.695,10017.346438649924,0.40564998130854235,12082.27136830231,1,4
2012,6,166,4,14.3694253762597,4.5,11.600000000000001,10042.54215726664,0.40665148516125027,12009.415740997283,1,4
2012,6,166,5,39.497476261469046,3,11.515,10065.170730595379,0.4075520499578076,11775.504110202522,1,4
2012,6,166,6,67.30614656264912,3,11.45,10082.529368656753,0.40824358769713237,11674.370095370685,1,4
2012,6,166,7,133.23420012097188,3.7,11.36,10106.642635846825,0.4092052284063895,11763.331456589112,1,4
2012,6,166,8,243.03121182801632,3.7,11.31,10120.078299559556,0.40974155262079903,11777.723106683774,1,4
2012,6,166,9,392.5230060875139,3.1,11.365,10105.300619929629,0.4091516778137062,11915.461613360174,1,4
2012,6,166,10,550.6372724449549,3.5,11.469999999999999,10077.183212418862,0.4080305411887199,11925.898717803688,1,4
2012,6,166,11,732.5877632778876,5.4,11.595,10043.871022559879,0.4067043421381088,11915.539641969614,1,4
2012,6,166,12,760.3085451111775,6.1,11.71,10013.377304861555,0.40549233062155565,11961.098612388252,1,4
2012,6,166,13,841.6735703670554,5.9,11.84,9979.08207454645,0.40413149886390404,11995.96796343739,1,4
2012,6,166,14,842.6936153170359,5.5,11.940000000000001,9952.82736767683,0.4030913515933882,12101.230227010872,1,4
2012,6,166,15,872.5430414768314,6,12.035,9927.98646754549,0.402108529775015,12167.50160979469,1,4
2012,6,166,16,835.3893795322693,6.4,12.135,9901.943967236426,0.40107954504184773,12186.696379444149,1,4
2012,6,166,17,756.8845626917365,6.1,12.22,9879.892735123,0.40020936983248334,12179.866458535807,1,4
2012,6,166,18,689.6229406160827,6.7,12.3,9859.209550295473,0.39939410659012947,12325.022711848249,1,4
2012,6,166,19,638.3877268915726,5.1,12.344999999999999,9847.605362563603,0.39893710166285434,12211.157071188876,1,4
2012,6,166,20,497.93212830235336,6.5,12.36,9843.742104239844,0.3987850188677687,12204.006417395754,1,4
2012,6,166,21,385.22519363116754,5.9,12.29,9861.791198380299,0.3994958175717274,12147.186014769843,1,4
2012,6,166,22,266.00770526795804,4,12.215,9881.187714104457,0.400260443529184,12074.101595857075,1,4
2012,6,166,23,167.77222080969696,2.2,12.14,9900.644680652558,0.40102824501147066,12147.682549148449,1,4
2012,6,166,24,80.11770160532089,3.8,12.06,9921.465690312505,0.4018507498439139,12094.730807707516,1,4
2012,6,167,1,24.058942895273493,2.9,11.955,9948.898586994477,0.40293582551306706,11891.006082059856,1,5
2012,6,167,2,6.970942437744477,1.9,11.875,9969.880478307063,0.40376679209924393,11755.8067901362,1,5
2012,6,167,3,5.515462488804278,2.3,11.825,9983.029728495821,0.4042880182733275,11642.992396219055,1,5
2012,6,167,4,8.83044499865622,1.6,11.74,10005.446494204245,0.4051774220909004,11598.307683509784,1,5
2012,6,167,5,21.985951924932053,2.9,11.715,10012.054812884482,0.4054398095067514,11632.100028070157,1,5
2012,6,167,6,32.87346800684222,2.1,11.645,10030.594867920297,0.4061764311473374,11702.970523960164,1,5
2012,6,167,7,83.52255746033597,1.3,11.594999999999999,10043.871022559879,0.4067043421381088,11798.449176000038,1,5
2012,6,167,8,148.3133474066843,1.8,11.555,10054.51196015385,0.40712772593094576,11752.16816540279,1,5
2012,6,167,9,388.61243153499464,1.7,11.575,10049.189264718998,0.40691591664705784,11754.209375450544,1,5
2012,6,167,10,520.2990926121284,4.2,11.635,10033.247878364044,0.4062818963119694,11905.161722995615,1,5
2012,6,167,11,446.6768597097759,5.9,11.695,10017.346438649924,0.40564998130854235,11837.45910368737,1,5
2012,6,167,12,532.0020820302691,5,11.74,10005.446494204245,0.4051774220909004,11764.079419245247,1,5
2012,6,167,13,438.3149780192188,5.3,11.78,9994.887521994377,0.40475835743888644,11730.146455268978,1,5
2012,6,167,14,362.1092562984464,4.1,11.815000000000001,9985.6628702111,0.40439243680407644,11875.593261433494,1,5
2012,6,167,15,259.75164062481105,5.4,11.835,9980.39768481399,0.40418365755466784,12075.924657171014,1,5
2012,6,167,16,359.7814694376932,3,11.89,9965.941044848158,0.40361070542555066,12117.743158559182,1,5
2012,6,167,17,406.65103140205656,5,11.92,9958.06956107095,0.4032989206535282,12096.532009641167,1,5
2012,6,167,18,380.56697164617975,4.6,11.905000000000001,9962.004073115126,0.40345474831635636,12142.520243293498,1,5
2012,6,167,19,357.9027729294029,5.2,11.9,9963.316123627148,0.40350671963065926,12123.992691839829,1,5
2012,6,167,20,263.9029630366396,4.4,11.885000000000002,9967.25391570866,0.4036627199148906,12147.487430289271,1,5
2012,6,167,21,175.52168741585717,5.3,11.864999999999998,9972.508135911521,0.4038709219203517,12075.097462163314,1,5
2012,6,167,22,119.65291150318093,3.6,11.84,9979.08207454645,0.40413149886390404,12091.836175185234,1,5
2012,6,167,23,71.22941396820158,3.8,11.79,9992.250532380274,0.4046537362892654,12109.049090341758,1,5
2012,6,167,24,39.36331132310677,3.7,11.73,10008.088993740103,0.40528233344322445,12098.65381479055,1,5
2012,6,168,1,11.67586023079661,3.8,11.68,10021.31806082852,0.4058077631019646,12134.166811252036,1,6
2012,6,168,2,1.4498036285868394,2.6,11.605,10041.21356991829,0.40659864283569247,12107.046273355432,1,6
2012,6,168,3,0.481513528042118,3,11.545,10057.174979391522,0.4072337187020831,12127.0654923665,1,6
2012,6,168,4,3.317725218035802,3.2,11.485,10073.176535022352,0.40787091137228376,12199.424990862804,1,6
2012,6,168,5,19.337081356916308,0.9,11.43,10087.880009115459,0.408456870755731,12120.344832699624,1,6
2012,6,168,6,35.17739277810871,2.5,11.415,10091.895935222457,0.40861698845702854,12097.84489016397,1,6
2012,6,168,7,76.13992160502367,3.3,11.434999999999999,10086.541928333134,0.40840352779893235,11965.218480456317,1,6
2012,6,168,8,113.84913611980826,3.6,11.415,10091.895935222457,0.40861698845702854,11842.161178965765,1,6
2012,6,168,9,177.5683994724739,3.8,11.39,10098.594762603147,0.4088841476626881,11899.37983157412,1,6
2012,6,168,10,327.1760369929224,2.6,11.375,10102.617432781151,0.4090446212041974,11852.76490515793,1,6
2012,6,168,11,302.67203674376674,3.6,11.370000000000001,10103.958885600818,0.40909814208112893,11998.901875820093,1,6
2012,6,168,12,446.899417378329,2.3,11.41,10093.235138770351,0.40867039064926786,12128.559669030448,1,6
2012,6,168,13,246.61967150865075,1.7,11.475000000000001,10075.847373437009,0.40797731648923247,12105.931965627675,1,6
2012,6,168,14,527.3550013515596,3.6,11.515,10065.170730595379,0.4075520499578076,12354.046857007732,1,6
2012,6,168,15,204.27366114638411,5,11.54,10058.506907160476,0.4072867371354611,12428.851928142927,1,6
2012,6,168,16,501.09582139656374,3,11.620000000000001,10037.229474773318,0.40644020372258655,12420.37818006491,1,6
2012,6,168,17,762.5780281253302,7.4,11.684999999999999,10019.99391015358,0.40575515459609285,12404.829233731061,1,6
2012,6,168,18,443.9387462407522,5.4,11.69,10018.670036119613,0.4057025606664223,12487.991268256756,1,6
2012,6,168,19,166.98385259624536,5.1,11.665,10025.292173461594,0.40596567612090195,12449.77105219849,1,6
2012,6,168,20,178.17442605129625,5.5,11.64,10031.92123447705,0.406229156421688,12424.139134000965,1,6
2012,6,168,21,159.96039560770953,5.6,11.625,10035.901998435174,0.40638741995799904,12348.001079691938,1,6
2012,6,168,22,97.11611717004386,6.3,11.555,10054.51196015385,0.40712772593094576,12304.994334150533,1,6
